Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
"Beacon Power - (Stephentown, NY) ",Flywheel,Flywheel,Electro-mechanical,20000,0.25,Operational,Frequency Regulation,,,,,,,,,,,,43,"October 18, 1899",Stephentown,New York,United States,,,"This 20 MW plant comprises 200 Beacon Power Series 400 flywheels that provide frequency regulation services to grid operator NYISO. Beacon flywheels recycle energy from the grid in response to changes in demand and grid frequency. When generated power exceeds load, the flywheels store the excess energy. When load increases, the flywheels return the energy to the grid. 

The flywheel systems can respond nearly instantaneously to the ISO control signal at a rate that is 100 times faster than traditional generation resources. The plant can operate at 100% depth of discharge with no performance degradation over a 20-year lifetime, and can do so for more than 100,000 full charge/discharge cycles. The flywheels are rated at 0.1 MW and 0.025 MWh, for a plant total of 20.0 MW and 5.0 MWh of frequency response.
",http://beaconpower.com/stephentown-new-york/,,,DD.06.YYYY,,NYISO,,,Transmission,,Third-Party-Owned,"Spindle Grid Regulation, LLC",,,,"Beacon Power, LLC",,"Beacon Power, LLC",,"Beacon Power, LLC",,,,,20,"<4 second response time, The plant provides over 30% of the Area Control Error correction, doing so with over 95% accuracy.",,,Federal/National Debt,US Department of Energy - Loan Guarantee,,,,,,,,,,,Rob Rounds; Barry Brits (CEO); Chris Hebert (Director of Strategy & Finance); Gene Hunt,rounds@beaconpower.com; brits@beaconpower.com; hebert@beaconpower.com; gene@trevicomm.com,,65 Middlesex Road,Tyngsboro,Massachusetts,01879,United States,DD.53.YYYY 01:53:12,DD.25.YYYY 20:25:25,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
Gills Onions - Prudent Energy VRB-ESS,Vanadium Redox Flow Battery,Flow Battery,Electro-chemical,600,6.0,Operational,Electric Bill Management,Electric Energy Time Shift,Grid-Connected Commercial (Reliability & Quality) ,,,,,,,,,,34,"September 2, 1899",Oxnard,California,United States,1051 South Pacific Avenue,93030,Gills Onions has a bio waste-based advanced energy recovery system that produces methane and biogas from onion production waste.  Prudent Energy's Vanadium Redox Battery energy storage system provides peak-shaving and demand charge avoidance services to reduce Gills Onions' monthly electric utility bill.,http://www.pdenergy.com/case-studies.php,DD.12.YYYY,DD.01.YYYY,DD.04.YYYY,,CAISO,Southern California Edison,Investor Owned,Secondary Distribution,Grid,Third-Party-Owned,Prudent Energy Services Corporation,,,,Prudent Energy Corporation,,Prudent Energy Corporation,,,,,,,10,,,,State/Provincial/Regional Commercialization Incentive*,California Public Utilities Commission - Self Generation Incentive Program,1200000,,,,,,,,,,"Jeff Pierson, Senior Vice President, Prudent Energy",jeff.pierson@pdenergy.com,(301) 825-8910,,,,,United States,DD.53.YYYY 01:53:13,DD.37.YYYY 20:37:14,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,
Bath County Pumped Storage Station - Dominion Generation / First Energy,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,3003000,10.30,Operational,Electric Energy Time Shift,,,,,,,,,,,,38,"October 12, 1899","George Washington National Forest, Warm Springs",Virginia,United States,State Route 705,24484,This project consists of a 3 GW Pumped Hydro storage plant in Virginia that pumps water to an elevated reservoir at night and lets it run back down to generate electricity during the day. ,https://www.dom.com/corporate/what-we-do/electricity/generation/hydro-power-stations/bath-county-pumped-storage-station,,DD.03.YYYY,DD.12.YYYY,,PJM,Allegheny Power System,Investor Owned,Transmission,Grid,Third-Party-Owned,First Energy,40,Dominion Generation,60,Dominion Generation,,Dominion Generation,,,,,,,,The publisher of this project declined to state any performance metrics.,1600000000,,,,,,,,,,,,,,,http://www.dom.com/contact/about-products-services.jsp,,120 Tredegar Street,Richmond,Virginia,23219,United States,DD.53.YYYY 01:53:13,DD.49.YYYY 20:49:06,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
Kaheawa Wind Project - Younicos,Advanced Lead-acid Battery,Lead-acid Battery,Electro-chemical,1500,0.25,Operational,Ramping ,Renewables Capacity Firming,,,,,,,,,,,21,"July 27, 1899",Maui,Hawaii,United States,,,Younicos installed a 1.5 MW Dynamic Power Resource (DPR) as a demonstration project to perform Ramp Control for 3 MW of the 30 MW Kaheawa Wind Farm in Hawaii.  The project uses Xtreme's patented Dynamic Power Resource energy storage and power management system.,http://www.hawaiibusiness.com/batteries-the-other-half-of-hawaiis-energy-future/,,,DD.07.YYYY,,N/A,Maui Electric Company (MECO),Investor Owned,Transmission,Wind,Third-Party-Owned,First Wind,100,,,Xtreme Power ,,Younicos,,First Wind,,,,,,,,,,,,,,,,,,,,,First Wind,contact@firstwind.com,808-695-3300,"810 Richards St., Suite 650",Honolulu,Hawaii,96813,United States,DD.53.YYYY 01:53:14,DD.12.YYYY 01:12:25,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Tehachapi Wind Energy Storage Project - Southern California Edison,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,8000,4.0,Operational,Electric Supply Capacity,Renewables Capacity Firming,Transmission Congestion Relief,Transportable Transmission/Distribution Upgrade Deferral,Voltage Support,,,,,,,,35,"September 3, 1899",Tehachapi,California,United States,,,"The Tehachapi Wind Energy Storage Project, funded by Southern California Edison (SCE) and federal stimulus funding awarded by the Department of Energy as part of the American Recovery and Reinvestment Act of 2009, is positioned to demonstrate the effectiveness of lithium-ion battery and smart inverter technologies to improve grid performance and assist in the integration of variable energy resources. 

The project is based at SCE’s Monolith Substation in Tehachapi, California and includes a 32 MWh battery energy storage system (BESS) and the associated power conversion system. The project will evaluate the performance of the BESS to improve grid performance and assist in the integration of large-scale variable energy resourced generation. Project performance will be measured with 13 specific operational uses: 

1. Provide voltage support and grid stabilization 2. Decrease transmission losses 3. Diminish congestion 4.  Increase system reliability  5. Defer transmission investment 6. Optimize size of new renewable-related transmission 7. Provide system capacity and resource adequacy 8. Integrate renewable energy (smoothing) 9. Shift wind generation output 10. Frequency regulation 11. Spin / non-spin replacement reserves 12. Ramp management 13. Energy price arbitrage. 

Most of the operations either shift other generation resources to meet peak load and other electricity system needs with stored electricity, or resolve grid stability and capacity concerns that result from the interconnection of variable energy resources. SCE will also demonstrate the ability of lithium-ion battery storage to provide nearly instantaneous maximum capacity for supply-side ramp rate control to minimize the need for fossil fuel-powered back-up generation.",https://www.smartgrid.gov/project/southern_california_edison_company_tehachapi_wind_energy_storage_project.html,,DD.10.YYYY,DD.07.YYYY,,CAISO,Southern California Edison,Investor Owned,Transmission,Wind,Utility-Owned,Southern California Edison,,,,LG Chem Ltd.,ABB (providing to LG Chem Ltd.),ABB (providing to LG Chem Ltd.),,Southern California Edison,,,,,,,49956528,,Federal/National American Recovery and Reinvestment Act of 2009 – RD&D,"Department of Energy, Office of Electricity - ARRA Smart Grid Demonstration Program",24978264,,,,,,,National Energy Technology Laboratory,,http://www.netl.doe.gov/,Kim Nuhfer; Doug Campbell; Naum Pinsky,Kimberly.Nuhfer@netl.doe.gov; Doug.Campbell@sce.com; Naum.Pinsky@sce.com,; 714-895-0258; 714-895-0645,14799 Chestnut Street,Westminster,California,92683,United States,DD.53.YYYY 01:53:14,DD.45.YYYY 22:45:40,,,,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,,,,,,,,,
Notrees Battery Storage Project - Duke Energy,Advanced Lead-acid Battery,Lead-acid Battery,Electro-chemical,36000,0.67,Operational,Electric Energy Time Shift,Frequency Regulation,Renewables Capacity Firming,,,,,,,,,,32,"September 19, 1899",Goldsmith,Texas,United States,,79759,"*Notrees will be updated with Samsung lithium Ion batteries in 2016*

Duke Energy has deployed a wind energy storage demonstration system at the 153 MW Notrees Wind power project in western Texas. The project demonstrates how energy storage and power storage technologies can help wind power systems address intermittency issues by building a 36 megawatt (MW) turnkey energy storage and power management system capable of optimizing the delivery of energy, in addition to providing regulation service in the ERCOT market.  The project is supported by a U.S. DOE Office of Electricity ARRA grant.",http://www.duke-energy.com/commercial-renewables/notrees-windpower.asp,DD.11.YYYY,DD.10.YYYY,DD.01.YYYY,,ERCOT,Duke Energy,Investor Owned,Transmission,Wind,Utility-Owned,Duke Energy,100,,,Xtreme Power,Younicos,Younicos,Younicos,Duke Energy,,,,,,,43610000,,Federal/National American Recovery and Reinvestment Act of 2009 – RD&D,"US Department of Energy, Office of Electricity - ARRA Grant",21806219,,,,,,,,,,"Eugene Hunt, Matthew Johnson ","gene@trevicomm.com, Matthew.Johnson@duke-energy.com","704-382-7268, 704-382-7268",550 S. Tryon St. ,Charlotte,North Carolina,28202,United States,DD.53.YYYY 01:53:15,DD.59.YYYY 22:59:43,,,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,
Redding Electric Utilities (Phase 1) - Ice Energy,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,1000,6.0,Operational,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,,,,,,,,,,41,"August 30, 1899",Redding,California,United States,,,"Ice Energy installed 1 MW of Ice Bear Thermal Energy Storage Assets as part of Redding Electric Utilities - Peak Capacity, Demand Response, HVAC Replacement Program. Redding Electric Utility used this procurement of thermal storage to avoid the high cost summer peak energy by shifting air conditioning load permanently to the night time hours when energy is more abundant and lower cost.  The turnkey system costs $2170/kW.",http://www2.reupower.com/tes.asp,DD.01.YYYY,,DD.01.YYYY,,BANC,Redding Electric Utility,,,Hydro and off peak energy purchases,Utility-Owned,Redding Electric Utility,100,,,Ice Energy,,Ice Energy,,,,,,,,>98% reliability on peak (6hrs),2170000,,,,,,,,,,,,,,Andrew Nunn,anunn@ice-energy.com,"Redding Electric Utilities - Peak Capacity, Demand Response, HVAC Replacement Program",,,,,,DD.53.YYYY 01:53:15,DD.09.YYYY 19:09:44,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
 Anaheim Public Utility- Ice Energy,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,200,4.75,Operational,Electric Energy Time Shift,,,,,,,,,,,,34,"September 4, 1899",Anaheim,California,United States,,,"Ice Energy's Ice Bear systems provides energy time shifting services to  the Anaheim Public Utility.  Multiple systems are installed at various buildings, including the local fire station.

http://www.publicpower.org/Media/weekly/ArticleDetail.cfm?ItemNumber=11744",http://www.prnewswire.com/news-releases/ice-energy-and-anaheim-public-utilities-target-californias-largest-peak-demand-challenge-powering-air-conditioners-56108642.html,DD.05.YYYY,,,,CAISO,Anaheim Public Utility,,,Grid,Third-Party-Owned,Various Owners,,,,Ice Energy,,Ice Energy,,,,,,,,The publisher of this project declined to state any performance metrics.,,,,,,,,,,,,,,,Andrew Nunn,anunn@ice-energy.com,(877)542-3232,,,,,,DD.53.YYYY 01:53:15,DD.48.YYYY 16:48:35,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
 Pillar Mountain Wind Project - Xtreme Power,Advanced Lead-acid Battery,Lead-acid Battery,Electro-chemical,3000,0.25,Operational,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Voltage Support,,,,,,,,,,57,"July 30, 1899",Kodiak Island,Alaska,United States,,,"Younicos will install a 3 MW Advanced Lead Acid energy storage system on the Kodiak Island grid to respond to grid voltage and frequency fluctuations from local wind generation.  The energy storage will act as a ""bridge"" between the wind and hydro resources, allowing KEA (http://www.kodiakelectric.com) to increase reliable wind generation from 4.5 MW to 9 MW.  The Control System's architecture is designed such that the utility can add the service known as Ramp Control later in time if need be. ",http://www.younicos.com/download/Younicos_Reference_Project_Kodiak_Island_US.pdf,DD.04.YYYY,,DD.11.YYYY,,N/A,Kodiak Electric Association,Cooperative (Customer Owned),Transmission,Wind,Utility-Owned,Kodiak Electric Association,100,,,Xtreme Power ,,Younicos,,Kodiak Electric Association,,,,,,,,,,,,,,,,,,,,,"Jennifer Richcreek, Environmental Coordinator, Kodiak Electric Association",jrichcreek@kodiak.coop,(907) 486-7704,515 E Marine Way ,Kodiak,Alaska,99615,United States,DD.28.YYYY 23:28:55,DD.31.YYYY 21:31:08,,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,
Glendale Water and Power -  Ice Energy,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,1500,6.0,Operational,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,,,,,,,,,,34,"September 3, 1899",Glendale,California,United States,,,"Glendale Water and Power’s (GWP) Ice Bear project installed Ice Thermal Energy storage units at 28 Glendale city buildings and 58 local small, medium sized, and large commercial businesses.  The project was supported by local trade companies and created approximately 40 jobs during the 1 year installation process. A total of 180 Ice Bear units have been installed in Glendale since the program’s inception.  The turnkey system costs $2170/kW.",http://articles.glendalenewspress.com/2012-05-02/news/tn-gnp-0502-ice-energy-melts-for-glendale_1_air-conditioning-glendale-water-power-steiger,DD.01.YYYY,,DD.01.YYYY,,CAISO,Los Angeles Department of Water and Power,Public Owned,,Off peak energy purchases,Utility-Owned,Los Angeles Department of Water and Power,100,,,Ice Energy,,Ice Energy,,,,,,,,>98% realiability on peak (6 hrs),2170000,,,,,,,,,,,,,,Andrew Nunn,anunn@ice-energy.com,,,,,,,DD.48.YYYY 19:48:27,DD.52.YYYY 21:52:14,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
Southern California Edison - HVAC Optimization Program,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,750,6.0,Operational,Electric Bill Management,,,,,,,,,,,,34,"September 3, 1899",Rosemead ,California,United States,,,"Southern California Edison partnered with Ice Energy to create a rebate program of $1800 / kW for businesses to install the Ice Bear system at their commercial locations. The systems reduce peak HVAC energy demand significantly, meaning lower electricity consumption overall.",http://www.ice-energy.com/ice-energy-provides-distributed-thermal-energy-storage-grid-southern-california-edison/,DD.01.YYYY,,DD.01.YYYY,,CAISO,Southern California Edison,Investor Owned,,Time of use off peak rates,Customer-Owned,Various Owners,,,,Ice Energy,,Ice Energy,,,,,,,,>98% realiability on peak (6 hrs),,,,,,,,,,,,,,,Andrew Nunn,anunn@ice-energy.com,,,,,,,DD.58.YYYY 20:58:33,DD.04.YYYY 22:04:45,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,
